Row,Col,Length,Z_up,Z_down,Basin,Slope
85,113,74.67722048612443,5.266924858093262,6.074722766876221,2422,0.0001
85,118,20.13058971721675,5.797577381134033,6.070363998413086,2422,0.0001
85,119,96.37080237493157,6.070363998413086,5.933654308319092,2422,0.001418579971578152
85,120,90.26810329539359,6.649397850036621,7.489516735076904,2422,0.0001
85,121,153.85640813504693,8.790572166442871,6.649397850036621,2422,0.013916705468171605
85,122,66.50882848879365,7.082008361816406,6.253771781921387,2422,0.012453032156995105
85,123,128.96137416453723,7.140094757080078,7.082008361816406,2422,0.0004504169999736627
85,124,52.299582023777276,6.6033759117126465,7.140094757080078,2422,0.0001
85,125,30.05683251056396,7.244314193725586,7.20775842666626,2422,0.0012162215378642462
85,126,117.41994596114907,7.363795280456543,7.244314193725586,2422,0.0010175535830214905
85,127,128.9613741652299,7.917970657348633,7.363795280456543,2422,0.004297219849581167
85,128,128.37857231015232,8.620071411132812,7.917970657348633,2422,0.0054689870836697
85,129,56.513296867306764,7.938962459564209,8.620071411132812,2422,0.0001
86,101,99.63066169055216,2.9055678844451904,3.145879030227661,2422,0.0001
86,102,59.6764154821695,2.4550890922546387,2.9055678844451904,2422,0.0001
86,110,80.85097169339079,5.556426525115967,6.789917945861816,2422,0.0001
86,111,48.37504777276415,5.556426525115967,5.556426525115967,2422,0.0001
86,113,64.96428765859798,6.3943352699279785,5.266924858093262,2422,0.017354310382952452
86,114,76.45706857879384,5.977692127227783,6.3943352699279785,2422,0.0001
86,119,116.501392092066,5.933654308319092,5.20139741897583,2422,0.006285391755358518
86,121,5.1860237363721895,6.253771781921387,8.790572166442871,2422,0.0001
86,122,104.99358545602217,6.253771781921387,6.253771781921387,2422,0.0001
86,124,67.32466621904982,7.20775842666626,6.6033759117126465,2422,0.00897713347715938
86,125,82.4031495621742,7.20775842666626,7.20775842666626,2422,0.0001
86,129,128.96137416509936,7.544583797454834,7.938962459564209,2422,0.0001
87,102,151.8821517987309,2.9243595600128174,2.4550890922546387,2422,0.0030897012071572447
