Row,Col
149,77
149,106
149,113
149,127
149,193
150,34
150,41
150,58
150,59
150,77
150,113
150,127
150,128
151,33
151,34
151,59
151,77
151,113
151,128
152,33
152,59
152,60
152,77
152,128
153,32
153,33
153,60
153,77
153,128
153,129
154,32
154,129
155,31
155,32
156,30
156,31
156,173
156,174
156,175
156,176
157,30
157,176
157,177
157,178
158,175
158,176
158,178
159,176
159,178
159,179
160,176
160,177
160,178
160,179
161,179
161,180
161,181
161,182
162,156
162,157
162,180
162,181
162,182
163,157
163,182
164,157
164,182
165,157
165,182
165,183
166,151
166,152
166,154
166,155
166,156
166,157
166,158
166,183
166,184
166,185
167,152
167,153
167,154
167,158
167,159
167,183
167,184
167,185
167,186
167,187
168,159
168,160
168,161
168,162
168,187
168,188
168,189
168,190
168,191
168,192
169,162
169,163
169,164
169,165
169,192
169,193
170,165
170,166
170,167
170,168
170,192
170,193
170,194
171,168
171,169
171,194
171,195
172,169
172,170
172,171
172,172
173,172
174,172
175,172
175,173
175,174
176,174
177,174
177,175
177,176
178,176
178,177
178,178
178,179
178,180
178,181
179,181
180,181
180,182
181,182
182,182
183,179
183,180
183,181
183,182
184,182
184,183
185,183
186,183
186,184
186,185
187,185
187,186
187,193
187,194
187,195
187,196
188,186
188,193
189,186
189,187
189,192
189,193
190,187
190,188
190,189
190,190
190,191
190,192
191,189
191,190
191,191
193,199
193,200
194,197
194,198
194,199
195,196
195,197
195,198
196,195
196,196
197,195
